zipcode,Classification,City,Population,Timezone,Area Code(s)
91344,General,Granada Hills,"51,747",Pacific,818/747
91345,General,Mission Hills,"18,496",Pacific,818/747
91350,General,Santa Clarita,"33,348",Pacific,661
91351,General,Canyon Country,"32,362",Pacific,661
91352,General,Sun Valley,"47,807",Pacific,818/626/213/323/310/747
91354,General,Valencia,"28,722",Pacific,661
91355,General,Valencia,"32,605",Pacific,661
91356,General,Tarzana,"29,458",Pacific,818
91364,General,Woodland Hills,"25,851",Pacific,818
91367,General,Woodland Hills,"39,499",Pacific,818
91381,General,Stevenson Ranch,"20,158",Pacific,661
91384,General,Castaic,"29,855",Pacific,661/805
91387,General,Canyon Country,"40,328",Pacific,661
91390,General,Santa Clarita,"19,786",Pacific,661
91401,General,Van Nuys,"39,285",Pacific,818
91402,General,Panorama City,"69,817",Pacific,818
91403,General,Sherman Oaks,"23,484",Pacific,818/747/323/424
91405,General,Van Nuys,"51,145",Pacific,818
91406,General,Van Nuys,"51,558",Pacific,818
91411,General,Van Nuys,"24,628",Pacific,818/323/747/424
91423,General,Sherman Oaks,"30,991",Pacific,818/747/323/424
91436,General,Encino,"14,372",Pacific,818/747
91501,General,Burbank,"20,849",Pacific,818/747
91502,General,Burbank,"11,371",Pacific,818/747
91504,General,Burbank,"24,939",Pacific,818/626/213/323/310
91505,General,Burbank,"30,778",Pacific,818/626/213/323/310
91506,General,Burbank,"18,904",Pacific,818/747
91601,General,North Hollywood,"37,180",Pacific,818/747
91602,General,North Hollywood,"17,473",Pacific,818/747
91604,General,Studio City,"29,034",Pacific,747
91605,General,North Hollywood,"56,343",Pacific,818/323
91606,General,North Hollywood,"44,958",Pacific,818/747
91607,General,Valley Village,"27,927",Pacific,818/747
91702,General,Azusa,"59,705",Pacific,626
91706,General,Baldwin Park,"76,571",Pacific,626
91711,General,Claremont,"35,705",Pacific,909
91722,General,Covina,"34,409",Pacific,626/909
91723,General,Covina,"18,275",Pacific,626/909
91724,General,Covina,"26,184",Pacific,626/909
91731,General,El Monte,"29,591",Pacific,626
91732,General,El Monte,"61,386",Pacific,626
91733,General,South El Monte,"43,896",Pacific,626
91740,General,Glendora,"25,356",Pacific,626
91741,General,Glendora,"25,824",Pacific,626
91744,General,La Puente,"85,040",Pacific,626
91745,General,Hacienda Heights,"54,013",Pacific,626
91746,General,La Puente,"30,485",Pacific,626
91748,General,Rowland Heights,"45,406",Pacific,626
91750,General,La Verne,"33,249",Pacific,909/626
91754,General,Monterey Park,"32,742",Pacific,818
91755,General,Monterey Park,"27,496",Pacific,818
91765,General,Diamond Bar,"46,457",Pacific,909
91766,General,Pomona,"71,599",Pacific,909/626
91767,General,Pomona,"48,068",Pacific,909/626
91768,General,Pomona,"34,537",Pacific,909/626
91770,General,Rosemead,"62,097",Pacific,626
91773,General,San Dimas,"33,119",Pacific,909
91775,General,San Gabriel,"23,988",Pacific,626
91776,General,San Gabriel,"38,475",Pacific,626
91780,General,Temple City,"34,332",Pacific,626
91789,General,Walnut,"43,079",Pacific,909
91790,General,West Covina,"44,907",Pacific,626
91791,General,West Covina,"32,414",Pacific,626
91792,General,West Covina,"30,854",Pacific,626
91801,General,Alhambra,"52,735",Pacific,626
91803,General,Alhambra,"30,322",Pacific,626
93510,General,Acton,"7,993",Pacific,661
93532,General,Lake Hughes,"2,932",Pacific,661
93534,General,Lancaster,"39,341",Pacific,661
93535,General,Lancaster,"72,046",Pacific,661
93536,General,Lancaster,"70,918",Pacific,661
93543,General,Littlerock,"13,033",Pacific,661
93544,General,Llano,"1,259",Pacific,661/760
93550,General,Palmdale,"74,929",Pacific,661
93551,General,Palmdale,"50,798",Pacific,661
93552,General,Palmdale,"38,158",Pacific,661
93553,General,Pearblossom,"2,138",Pacific,661
93563,General,Valyermo,388,Pacific,661
93591,General,Palmdale,"7,285",Pacific,661
