zipcode,City,Name,Pop under 18yr(%),Median Age,Population_y,White(%),Black or African American(%),American Indian and Alaska Native(%),Asian(%),Native Hawaiian and Other Pacific Islander(%),Some other race(%),Hispanic or Latino(%),No schooling completed(%),Regular high school diploma(%),Median Household Income,Per Capita Income,Poverty Rate,Unemployment Rate,Home Median value (dollars),Land Area (square meters),Land Area (square miles),Lat,Lng
90044,Los Angeles,ZCTA5 90044,29.59442332065906,30.8,94680.0,26.664554288128432,34.409590198563585,0.4615547106041403,0.493240388677651,0.008449514152936205,36.36670891423743,63.38297422898184,3.0882974228981834,16.96134347275032,32278.0,14430.0,34.42754541613857,4.232150401351922,326600.0,13303665,5.1370000000000005,33.952725,-118.291904
90045,Los Angeles,ZCTA5 90045,15.350072428778368,35.0,41420.0,59.61612747464993,13.264123611781748,0.306615161757605,14.065668759053597,0.1545147271849348,5.919845485272815,17.725736359246742,0.35731530661516175,7.201834862385321,90399.0,48661.0,9.50748430709802,3.8121680347658136,840800.0,27794036,10.731,33.942143,-118.417309
90046,Los Angeles,ZCTA5 90046,7.0773999806257875,38.8,51615.0,78.99060350673254,5.192289063256805,0.22280344860990023,6.478736801317447,0.11430785624334011,4.0879589266686045,10.21602247408699,0.6083502857696406,9.59992250314831,65990.0,63973.0,13.265523588104234,4.977235299815945,1047200.0,14981234,5.784,34.10781,-118.362247
90047,Los Angeles,ZCTA5 90047,21.783423728114496,39.6,48491.0,16.355612381679073,64.48000659916273,0.39182528716669074,0.8290198181105772,0.23715741065352333,15.794683549524654,31.785279742632653,1.5074962364150049,18.19925346971603,42551.0,21712.0,19.92122249489596,6.042358375781073,351500.0,12252021,4.731,33.953621000000005,-118.30956299999998
90048,Los Angeles,ZCTA5 90048,11.408573928258967,36.7,22860.0,80.31496062992126,3.0796150481189852,0.14435695538057744,8.228346456692913,0.05249343832020997,3.254593175853018,8.692038495188102,0.49431321084864394,5.533683289588802,85396.0,70123.0,8.495188101487313,4.221347331583552,1078000.0,4884081,1.886,34.072925,-118.37271100000001
90049,Los Angeles,ZCTA5 90049,16.9270117155272,40.6,36362.0,84.62955833012485,1.4300643528958803,0.18425829162312304,8.712392057642594,0.0,0.9652934382047192,5.753258896650349,0.3960178208019361,3.830922391507618,121671.0,99599.0,7.312579066057973,2.9948847698146417,1914900.0,38899395,15.019,34.09254,-118.491064
90056,Los Angeles,ZCTA5 90056,20.314449713002247,50.3,8014.0,17.793860743698527,70.10232093835788,0.0,5.253306713251809,0.0,0.4616920389318692,8.32293486398802,0.23708510107312203,7.898677314699277,84438.0,54647.0,6.962815073621163,5.839780384327427,864600.0,4090958,1.58,33.988046999999995,-118.37036100000002
90057,Los Angeles,ZCTA5 90057,22.363279272712546,34.1,49389.0,30.52704043410476,4.737897102593695,1.0123711757678835,19.534714207617082,0.269290732754257,42.07819554961631,68.94652655449595,5.159043511713135,12.9239304298528,31337.0,15492.0,34.34165502439814,4.946445564801879,378300.0,2293708,0.8859999999999999,34.061735,-118.276757
90058,Los Angeles,ZCTA5 90058,40.67105675760426,23.5,3189.0,55.18971464408906,6.428347444339918,0.0,1.317027281279398,0.3449357165255566,36.18689244277203,89.99686422075885,4.421448730009407,8.184383819379116,16425.0,9429.0,55.62872373784886,4.107870805895265,321700.0,15040197,5.807,34.002844,-118.2164
90059,Los Angeles,ZCTA5 90059,35.12491816434711,26.3,47351.0,36.516652235433256,31.044750902832043,0.41604189985427975,0.589216700808853,0.14994403497286224,29.51785601148867,67.08411649173196,2.344195476336297,13.045131042639015,37653.0,12208.0,34.2210301788769,5.332516736710946,286700.0,8581851,3.313,33.926262,-118.24988300000001
90061,Los Angeles,ZCTA5 90061,28.282683998143057,29.9,28003.0,36.79962861122023,32.51437345998643,0.4999464343106096,0.2821126307895583,0.039281505552976465,27.83630325322287,65.08231260936329,2.6782844695211225,15.301931935864015,37126.0,14215.0,30.832410813127165,3.556761775524051,298200.0,6893901,2.662,33.921279999999996,-118.27418600000001
90062,Los Angeles,ZCTA5 90062,24.251345644868707,34.6,33627.0,19.98096767478514,32.827787194813695,0.41633211407499926,1.2727867487435691,0.1278734350373212,43.23311624587385,63.240848127992386,3.4258185386742794,15.835489338924079,40018.0,17269.0,23.124275136051388,4.130609331786957,357600.0,5008333,1.9340000000000002,34.003638,-118.308806
90063,Los Angeles,ZCTA5 90063,26.82612592426619,31.8,53556.0,40.98140264396146,0.4910747628650385,0.22966614384942863,1.33131675255807,0.061617745910822315,55.54746433639555,96.12555082530436,3.372171185301367,11.97998356860109,44121.0,16107.0,22.389648218686983,5.32900141907536,350400.0,8475619,3.272,34.045105,-118.185914
90064,Los Angeles,ZCTA5 90064,21.10585611566117,38.5,26007.0,71.68454646825855,3.8182027915561196,0.48063982773868574,17.895182066366747,0.14995962625446996,2.3878186642057906,12.008305456223324,0.24993271042411658,5.53697081554966,92194.0,61983.0,9.05140923597493,2.0033068020148423,1052100.0,10388702,4.011,34.037251,-118.423573
90065,Los Angeles,ZCTA5 90065,21.156546881453945,36.5,48420.0,52.48451053283767,1.9372160264353573,0.929368029739777,16.150351094589013,0.039239983477901696,24.151177199504335,61.875258157786035,2.604295745559686,10.743494423791821,58405.0,28540.0,17.604295745559686,4.8182569186286655,604600.0,13672054,5.279,34.109595,-118.22868899999999
90066,Los Angeles,ZCTA5 90066,16.794148660183776,37.1,59747.0,61.24324233852746,4.098950574924264,2.892195424038027,14.206571041223826,0.14394028152041108,10.64321221149179,30.25591243074966,0.9824761075869918,8.000401693808895,75209.0,45168.0,10.603042830602373,4.124056437980149,911400.0,12745937,4.921,34.002028,-118.430656
90067,Los Angeles,ZCTA5 90067,5.861297539149888,65.4,2235.0,70.78299776286353,0.7606263982102909,0.0,24.161073825503355,1.342281879194631,1.1185682326621924,1.342281879194631,0.7606263982102909,7.382550335570469,123889.0,148638.0,4.832214765100671,1.342281879194631,1066900.0,849912,0.32799999999999996,34.057596999999994,-118.41399799999999
90068,Los Angeles,ZCTA5 90068,11.373469575623677,40.5,21726.0,80.07456503728253,3.1298904538341157,0.28076958482923686,7.134309122710117,0.041425020712510356,3.580962901592562,10.655435883273498,0.4234557672834392,6.1401086256098685,82718.0,81674.0,10.301021817177576,6.55896161281414,1121600.0,20067143,7.747999999999999,34.129771999999996,-118.33098899999999
