Name,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Unemployment Rate
ZCTA5 00953,953,72608.0,37.1,29837.0,14360.0,29.73914720141031,5.773468488320846
ZCTA5 00956,956,68452.0,40.4,23322.0,12226.0,36.862326885993106,7.494302576988255
ZCTA5 00957,957,40738.0,40.2,24438.0,13000.0,36.95566792675144,6.131867052874466
ZCTA5 00959,959,47849.0,40.2,29737.0,15979.0,29.57637568183243,5.379422767455956
ZCTA5 00960,960,2454.0,33.2,-666666666.0,3972.0,0.7742461287693562,0.0
ZCTA5 00961,961,31017.0,42.3,28455.0,16714.0,30.528419898765193,4.558790340780862
ZCTA5 00962,962,19864.0,37.1,16135.0,9871.0,54.269029399919454,12.494965767217076
ZCTA5 00965,965,7659.0,41.7,15369.0,11228.0,53.309831570701135,7.546677111894503
ZCTA5 00966,966,16169.0,45.3,51318.0,36677.0,18.170573319314737,3.939637578081514
ZCTA5 00968,968,3368.0,58.1,45811.0,43889.0,14.78622327790974,3.8004750593824226
ZCTA5 00969,969,43216.0,40.4,51604.0,27897.0,17.923917067752683,3.5403554239170676
ZCTA5 00971,971,27449.0,43.6,20604.0,14718.0,37.63342926882582,6.258880104921855
ZCTA5 00976,976,60134.0,39.4,30801.0,16208.0,30.80952539328832,3.186217447700136
ZCTA5 00979,979,15203.0,48.4,34284.0,29494.0,17.937249227126227,3.341445767282773
ZCTA5 00982,982,14514.0,44.3,25935.0,14037.0,36.42689816728676,6.3249276560562215
ZCTA5 00983,983,36687.0,41.1,27149.0,13585.0,32.17488483659062,6.410990269032627
ZCTA5 00985,985,32750.0,41.5,24834.0,13531.0,31.957251908396948,7.4992366412213745
ZCTA5 00987,987,58583.0,38.7,32967.0,16557.0,24.542956147687896,6.35679292627554
ZCTA5 01001,1001,17537.0,45.8,57694.0,33135.0,8.878371443234304,2.4063408792838
ZCTA5 01002,1002,30280.0,23.6,52379.0,27657.0,25.928005284015853,3.9365918097754293
ZCTA5 01003,1003,11131.0,19.9,2499.0,4370.0,0.5120833707663283,8.139430419549008
ZCTA5 01005,1005,5014.0,45.4,70325.0,35334.0,6.122856003191065,2.991623454327882
ZCTA5 01007,1007,14906.0,43.8,86165.0,39308.0,5.735945256943513,2.6767744532403057
ZCTA5 01008,1008,1272.0,49.9,62750.0,33933.0,6.99685534591195,4.638364779874214
ZCTA5 01009,1009,384.0,66.2,59440.0,26043.0,44.53125,5.729166666666667
ZCTA5 01010,1010,3724.0,48.1,86523.0,39077.0,4.189044038668099,4.403866809881848
ZCTA5 01011,1011,1507.0,39.9,75263.0,30903.0,6.768414067684141,3.3178500331785004
ZCTA5 01012,1012,531.0,43.2,70114.0,37778.0,11.299435028248588,5.649717514124294
ZCTA5 01013,1013,23026.0,35.0,39868.0,21738.0,18.02744723356206,4.273430035611917
ZCTA5 01020,1020,30148.0,44.2,58780.0,30076.0,10.524744593339525,3.953827782937508
ZCTA5 01022,1022,2604.0,37.6,43349.0,25748.0,23.617511520737327,4.45468509984639
ZCTA5 01026,1026,958.0,49.5,51442.0,30925.0,4.697286012526096,2.2964509394572024
ZCTA5 01027,1027,17870.0,44.9,63699.0,34386.0,9.921656407386681,3.889199776161164
ZCTA5 01028,1028,16156.0,45.9,85221.0,38320.0,4.382272839811835,2.531567219608814
ZCTA5 01029,1029,728.0,47.3,50750.0,31970.0,14.010989010989011,5.357142857142857
ZCTA5 01030,1030,11211.0,45.1,71716.0,33551.0,9.428240121309429,1.9534385871019535
ZCTA5 01031,1031,1151.0,38.6,41875.0,27940.0,17.28931364031277,3.214596003475239
ZCTA5 01032,1032,551.0,49.8,78011.0,37424.0,2.1778584392014517,3.4482758620689653
ZCTA5 01033,1033,6300.0,45.8,89965.0,40222.0,5.142857142857143,2.5555555555555554
ZCTA5 01034,1034,2313.0,46.9,87045.0,36015.0,8.041504539559014,2.7237354085603114
ZCTA5 01035,1035,5301.0,47.4,58953.0,41575.0,5.282022259950953,0.6036596868515375
ZCTA5 01036,1036,5193.0,49.4,81304.0,39634.0,3.966878490275371,3.292894280762565
ZCTA5 01037,1037,772.0,46.1,92750.0,31356.0,12.046632124352332,2.5906735751295336
ZCTA5 01038,1038,2897.0,51.4,67096.0,39453.0,3.8660683465654127,0.7939247497411115
ZCTA5 01039,1039,1129.0,54.6,80000.0,49565.0,7.528786536758193,4.694419840566874
ZCTA5 01040,1040,40362.0,35.2,37954.0,22625.0,27.818244883801597,4.650413755512611
ZCTA5 01050,1050,2334.0,43.7,68869.0,31233.0,7.069408740359897,0.9854327335047129
ZCTA5 01053,1053,1658.0,53.2,62222.0,31413.0,18.636911942098916,1.5681544028950543
